cosmetic_consents|idx_cosmetic_consents_tenant_id|CREATE INDEX idx_cosmetic_consents_tenant_id ON public.cosmetic_consents USING btree (tenant_id)
cosmetic_followups|cosmetic_followups_pkey|CREATE UNIQUE INDEX cosmetic_followups_pkey ON public.cosmetic_followups USING btree (id)
cosmetic_followups|idx_cosmetic_followups_tenant_id|CREATE INDEX idx_cosmetic_followups_tenant_id ON public.cosmetic_followups USING btree (tenant_id)
cosmetic_photos|cosmetic_photos_pkey|CREATE UNIQUE INDEX cosmetic_photos_pkey ON public.cosmetic_photos USING btree (id)
cosmetic_photos|idx_cosmetic_photos_tenant_id|CREATE INDEX idx_cosmetic_photos_tenant_id ON public.cosmetic_photos USING btree (tenant_id)
cosmetic_procedures|cosmetic_procedures_pkey|CREATE UNIQUE INDEX cosmetic_procedures_pkey ON public.cosmetic_procedures USING btree (id)
cpb_logs|cpb_logs_pkey|CREATE UNIQUE INDEX cpb_logs_pkey ON public.cpb_logs USING btree (id)
cpb_logs|idx_cpb_logs_patient|CREATE INDEX idx_cpb_logs_patient ON public.cpb_logs USING btree (tenant_id, patient_id)
crit_care_hemodynamics|crit_care_hemodynamics_pkey|CREATE UNIQUE INDEX crit_care_hemodynamics_pkey ON public.crit_care_hemodynamics USING btree (id)
crit_care_ventilation_logs|crit_care_ventilation_logs_pkey|CREATE UNIQUE INDEX crit_care_ventilation_logs_pkey ON public.crit_care_ventilation_logs USING btree (id)
cssd_instrument_sets|cssd_instrument_sets_pkey|CREATE UNIQUE INDEX cssd_instrument_sets_pkey ON public.cssd_instrument_sets USING btree (id)
cssd_instrument_sets|idx_cssd_instrument_sets_tenant_id|CREATE INDEX idx_cssd_instrument_sets_tenant_id ON public.cssd_instrument_sets USING btree (tenant_id)
cssd_load_items|cssd_load_items_pkey|CREATE UNIQUE INDEX cssd_load_items_pkey ON public.cssd_load_items USING btree (id)
cssd_load_items|idx_cssd_load_items_tenant_id|CREATE INDEX idx_cssd_load_items_tenant_id ON public.cssd_load_items USING btree (tenant_id)
cssd_sterilization_cycles|cssd_sterilization_cycles_pkey|CREATE UNIQUE INDEX cssd_sterilization_cycles_pkey ON public.cssd_sterilization_cycles USING btree (id)
cssd_sterilization_cycles|idx_cssd_cycles_tenant_id|CREATE INDEX idx_cssd_cycles_tenant_id ON public.cssd_sterilization_cycles USING btree (tenant_id)
cssd_trays|cssd_trays_pkey|CREATE UNIQUE INDEX cssd_trays_pkey ON public.cssd_trays USING btree (id)
cssd_trays|idx_cssd_trays_cycle|CREATE INDEX idx_cssd_trays_cycle ON public.cssd_trays USING btree (tenant_id, cycle_id)
cssd_trays|idx_cssd_trays_tenant_id|CREATE INDEX idx_cssd_trays_tenant_id ON public.cssd_trays USING btree (tenant_id)
daily_close|daily_close_pkey|CREATE UNIQUE INDEX daily_close_pkey ON public.daily_close USING btree (id)
daily_close|idx_daily_close_tenant_id|CREATE INDEX idx_daily_close_tenant_id ON public.daily_close USING btree (tenant_id)
dental_images|dental_images_pkey|CREATE UNIQUE INDEX dental_images_pkey ON public.dental_images USING btree (id)
dental_images|idx_dental_images_tenant|CREATE INDEX idx_dental_images_tenant ON public.dental_images USING btree (tenant_id, facility_id, patient_id)
dental_periodontal_exams|dental_periodontal_exams_pkey|CREATE UNIQUE INDEX dental_periodontal_exams_pkey ON public.dental_periodontal_exams USING btree (id)
dental_periodontal_exams|idx_dental_periodontal_tenant|CREATE INDEX idx_dental_periodontal_tenant ON public.dental_periodontal_exams USING btree (tenant_id, facility_id, patient_id)
dental_records|dental_records_pkey|CREATE UNIQUE INDEX dental_records_pkey ON public.dental_records USING btree (id)
dental_records|idx_dental_records_tenant_facility|CREATE INDEX idx_dental_records_tenant_facility ON public.dental_records USING btree (tenant_id, facility_id, patient_id)
departments|departments_pkey|CREATE UNIQUE INDEX departments_pkey ON public.departments USING btree (id)
